o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment,c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
2,781,O,38426.09,1996-12-01,1-URGENT,Clerk#000000880,0,ve the furiously fluffy dependencies. carefully regular ,781,Customer#000000781,"maoqGuL5,rHfX0leqZcFqHqpQH",18,28-478-388-5881,6403.62,MACHINERY,"ld packages detect against the slyly ironic platelets. special, regular instructions haggle. carefu"
65,163,P,95469.44,1995-03-18,1-URGENT,Clerk#000000632,0,"ounts sleep against the regular foxes. deposits nag express, express foxes. f",163,Customer#000000163,"dK kOdDEWvKN,L",21,31-863-349-4121,2948.61,FURNITURE,ins cajole fluffily carefully final requests. ca
128,740,F,34997.04,1992-06-15,1-URGENT,Clerk#000000385,0,uriously unusual attainments sleep. furiously even attainments sublate slyly a,740,Customer#000000740,moM kCzLz4rzp a8tANsfu6aDQaMEPkgkK,10,20-215-156-3727,1733.76,BUILDING,ecial requests around the quickly f
133,440,O,95971.06,1997-11-29,1-URGENT,Clerk#000000738,0,yly even requests. car,440,Customer#000000440,wWLgeLIpxkF50DfETdKhGZnC65vdae6SsrrW09,3,13-244-480-5751,1809.04,MACHINERY,"d final excuses. quickly unusual excuses sleep closely special, final depos"
193,791,F,80834.26,1993-08-08,1-URGENT,Clerk#000000025,0,p furiously alongside o,791,Customer#000000791,Y14aVvMuDDgnmEuCEPK,13,23-575-775-4059,3694.81,HOUSEHOLD,beans use carefully furiously regular deposits. slyly 
228,442,F,2744.06,1993-02-25,1-URGENT,Clerk#000000562,0,final accounts impress ironically slow theodolites. blithely pend,442,Customer#000000442,AwKQtMhlfcZOHser,1,11-240-523-8711,4157.0,FURNITURE, carefully pending packages wake slyly across the requests. sometimes final depo
258,419,F,259466.78,1993-12-29,1-URGENT,Clerk#000000167,0,yly unusual excuses use carefully. carefully ruthless epitaphs aro,419,Customer#000000419,LwP1diW65prCVtc2Y6c4Pw5R7N7H,16,26-338-447-2399,7786.69,BUILDING,nently according to the special packages. carefully ironic depths haggle
323,392,F,121127.17,1994-03-26,1-URGENT,Clerk#000000959,0,endencies cajole blithely deposits. foxes unwind across the,392,Customer#000000392,kTeUhdPDNc,17,27-601-793-2507,8492.33,BUILDING,thin accounts; deposits against the fluffily special accounts doubt furiously quickly even platelets! ironic epitaph
452,596,O,2072.79,1997-10-14,1-URGENT,Clerk#000000498,0,"es. courts poach sometimes. thin, express packages a",596,Customer#000000596,KCpta6YhOJGi4Lscl4Si0Eoi,5,15-484-811-5482,1722.88,MACHINERY, slyly unusual deposits. fluffily regular ideas are even deposits. permanently even deposits use. brav
455,121,O,190711.32,1996-12-04,1-URGENT,Clerk#000000796,0,poach. slyly final frays cajole. pac,121,Customer#000000121,zwrDoaY2gxCkdTXFaxNc,17,27-411-990-2959,6428.32,BUILDING,"he unusual, unusual deposits nag quickly instructions. slyly "
519,631,O,109395.6,1997-10-31,1-URGENT,Clerk#000000985,0,ckages sleep furiously according ,631,Customer#000000631,qtrfihX7PhVTzhfGBQCcp31JMy3,19,29-864-813-2575,2603.0,MACHINERY,s. quickly bold packages nag quickly among the attainments. carefully regular pains integrate a
550,236,O,54818.45,1995-08-02,1-URGENT,Clerk#000000204,0, are furiously slyly ,236,Customer#000000236,"HO40Ef, Ji yqO5RCFZ0Vn5G8slbgFK2",14,24-808-967-4503,5384.59,AUTOMOBILE,"ily special instructions. deposits use carefully. unusual, permanent accounts about the carefully iron"
551,898,O,64301.4,1995-05-30,1-URGENT,Clerk#000000179,0,ns sublate blithely from t,898,Customer#000000898,i w insq M15hshpIX8mFIPZ7Z02536wckuR51v9,3,13-265-738-4361,8137.24,AUTOMOBILE,ar accounts are furiously bold waters? packages sleep ironic pinto beans-- carefully bold pinto beans detect blithel
582,494,O,181813.2,1997-10-21,1-URGENT,Clerk#000000378,0,dependencies after th,494,Customer#000000494,lgK7HklFa o14OGNy8AJ2oCBpKEoJGEi,10,20-330-453-6579,6295.47,FURNITURE,oxes. express accounts cajole slyly about the special instru
610,508,O,229411.94,1995-08-02,1-URGENT,Clerk#000000610,0,excuses boost. ironic pinto b,508,Customer#000000508,BR5ARsD7 6xu,18,28-344-250-3166,1685.9,BUILDING,"en courts. carefully final packages sleep against the slyly regular pinto beans. final, final accounts detect qu"
644,74,F,267079.41,1992-05-01,1-URGENT,Clerk#000000550,0,se blithely. bold attainments affix furiously even notornis. blithely bo,74,Customer#000000074,jGhjorX17JmTAfT6gO 6sD9fF1GtFLs,4,14-199-862-7209,2764.43,MACHINERY,ithely special excuses. regular deposits cajole furiously finally
673,793,F,34950.94,1994-03-10,1-URGENT,Clerk#000000448,0,its boost. regular ideas according to the silently bold,793,Customer#000000793,"s8Fyg,ieBY4wvP0r,uXoDZxJOw ",0,10-404-953-9048,2072.99,BUILDING, packages. blithely busy pinto be
709,361,O,92115.73,1998-04-21,1-URGENT,Clerk#000000461,0,nto beans. furiously final accounts cajole pe,361,Customer#000000361,"G,lSHfh5MUYOP",20,30-164-267-4590,7451.84,BUILDING,ackages engage bold foxes-- slyly final
771,446,O,151561.45,1995-06-17,1-URGENT,Clerk#000000105,0,ly regular deposits nag slyly. final foxes wake ca,446,Customer#000000446,"Fhchv3LOJrJsfoxwT,0AKFh8Ek",24,34-321-168-5681,9225.6,FURNITURE,"ously ironic warhorses along the permanent, slow requests sleep furiously instructions: fluffily final packages abou"
